pidlink,kw03,kw04
018090002,,
018090008,1.0,3:Self
018095102,1.0,3:Self
018100002,,
018110002,,
018110007,1.0,3:Self
018130002,1.0,3:Self
018140004,,
018144102,,
018150002,,
018150003,,
018160003,,
018160004,,
018160005,,
018170002,1.0,
018180007,,
018180008,1.0,3:Self
018190002,2.0,3:Self
018200002,1.0,3:Self
019080010,,
019083102,,
019090003,1.0,1:Parent
019095102,1.0,3:Self
019100004,,
019100006,,
019103102,1.0,3:Self
019103103,1.0,3:Self
019200004,1.0,3:Self
020020001,1.0,3:Self
020050006,1.0,3:Self
020055102,1.0,3:Self
020060006,,
020080006,1.0,3:Self
020100004,,
020103102,,
020110004,1.0,3:Self
020110005,1.0,3:Self
020120002,1.0,3:Self
020130002,,
020140001,,
020150006,,
020170002,,
020170004,1.0,3:Self
020180001,1.0,
020180002,,
020190004,,
020190007,1.0,3:Self
020190009,,
020200007,,
021010003,,
021030004,,
021040004,,
021050003,,
021050004,,
021050005,1.0,3:Self
021055102,1.0,3:Self
021060002,,
021070002,,
021070004,1.0,3:Self
021075102,1.0,3:Self
021100002,,
021110003,,
021110008,1.0,3:Self
021130002,,
021130003,,
021130006,,
021130007,,
021135102,1.0,3:Self
021140002,,
021140004,1.0,3:Self
021150005,,
021160004,1.0,3:Self
021170004,,
021170005,,
021170007,,
021170008,,
021174102,,
021180006,,
021184102,,
021190002,,
021190003,2.0,4:Family
021190005,1.0,1:Parent
021190006,1.0,3:Self
021195202,1.0,3:Self
021200004,,
022010004,,
022020007,1.0,3:Self
022050003,,
022050004,1.0,3:Self
022050005,,
022060003,1.0,3:Self
022060005,1.0,3:Self
022073102,,
022080003,,
022080006,1.0,3:Self
022084202,,
022090002,,
022090003,1.0,3:Self
022090010,1.0,3:Self
022094203,1.0,3:Self
022100002,,
022100005,1.0,3:Self
022105102,2.0,3:Self
022110004,,
022110005,,
022110006,,
022110007,1.0,3:Self
022120002,,
022140009,1.0,3:Self
022160002,,
022160003,,
022170002,1.0,3:Self
022180003,,
022180004,,
022180007,1.0,3:Self
022183107,,
022184102,,
022190002,,
022190005,1.0,3:Self
022200004,,
023050003,1.0,
023070003,1.0,1:Parent
023070010,1.0,1:Parent
023070012,1.0,3:Self
023073102,,
023080002,1.0,
023080003,1.0,3:Self
023080009,1.0,3:Self
023100004,1.0,3:Self
023100007,1.0,3:Self
023104102,,
023105202,1.0,3:Self
023105302,1.0,3:Self
023110003,,
023120003,,
023120007,1.0,3:Self
023145102,1.0,3:Self
023170006,1.0,3:Self
023190003,1.0,3:Self
023190005,1.0,3:Self
024010003,1.0,3:Self
024010007,,
024010009,1.0,3:Self
024015202,1.0,3:Self
024030003,,
024030007,1.0,3:Self
024030010,,
024033102,,
024034102,,
024040006,,
024040008,2.0,3:Self
024040010,1.0,
024040012,,
024041106,,
024044202,1.0,3:Self
024050003,,
024070002,,
024070006,1.0,3:Self
024074102,1.0,3:Self
024080008,1.0,3:Self
024080011,1.0,3:Self
024081102,1.0,
024082104,1.0,3:Self
024083203,1.0,3:Self
024085207,1.0,3:Self
024090006,,
024090008,,
024090009,1.0,3:Self
024090010,,
024093102,,
024110002,,
024140001,,
024140005,,
024143108,,
024145102,1.0,3:Self
024160006,,
024160008,1.0,3:Self
024160009,,
024160011,,
024160014,1.0,3:Self
024170003,,
024170004,2.0,3:Self
024170005,,
024190003,,
024190008,1.0,3:Self
024200003,,
024200004,,
024210005,,
024210006,,
024210008,,
024220002,,
024220004,1.0,3:Self
024220005,1.0,
024230007,,
024235102,1.0,3:Self
024235202,1.0,3:Self
024240004,,
024280002,1.0,
024280006,1.0,3:Self
024280007,,
024284102,,
024284107,1.0,3:Self
024284202,1.0,
025010003,,
025010012,1.0,
025030002,,
025040002,,
025040003,1.0,3:Self
025040004,1.0,3:Self
025060006,,
025064102,,
025065102,1.0,3:Self
025070002,,
025070003,,
025070004,,
025080004,1.0,
025080005,1.0,3:Self
025080006,,
025100008,,
025103102,,
025104102,,
025104202,,
025105202,1.0,3:Self
025110002,,
025110003,1.0,3:Self
025114102,,
025115302,1.0,3:Self
025115402,1.0,3:Self
025120003,1.0,3:Self
025123105,,
025130001,,
025130002,1.0,
025130003,,
025133103,1.0,3:Self
025134102,,
025135102,1.0,3:Self
025150002,,
025150003,1.0,3:Self
025150007,1.0,3:Self
025150008,1.0,3:Self
025160002,,
025160007,,
025164102,,
025164202,,
025165202,1.0,3:Self
025170002,,
025180002,,
025180006,,
025184102,,
025190006,,
025195102,2.0,3:Self
026020003,,
026080004,1.0,3:Self
026160003,1.0,3:Self
026160007,1.0,3:Self
026180002,1.0,
026415202,1.0,3:Self
027010001,,
027010002,1.0,3:Self
027010005,,
027014102,,
027030002,,
027040002,,
027040006,,
027060003,,
027060004,,
027060005,,
027060008,,
027061102,,
027065102,1.0,3:Self
027070006,1.0,3:Self
027070009,1.0,3:Self
027074202,,
027080002,,
027080007,,
027083202,,
027085102,1.0,3:Self
027090002,,
027090003,,
027090004,1.0,3:Self
027090009,,
027090011,,
027090013,1.0,3:Self
027094202,1.0,3:Self
027094302,,
027094402,,
027100002,,
027100004,,
027105102,1.0,3:Self
027110002,1.0,
027110008,1.0,3:Self
027110010,,
027115202,1.0,3:Self
027115302,1.0,3:Self
027120003,2.0,3:Self
027121104,,
027130002,,
027130004,,
027135102,1.0,3:Self
027140001,,
027140004,1.0,3:Self
027145102,3.0,3:Self
027150004,1.0,3:Self
027160006,1.0,3:Self
027180003,1.0,
027180005,1.0,3:Self
027191102,2.0,
027200002,,
027200005,,
027200006,1.0,
027200007,1.0,3:Self
027230002,,
027240002,1.0,
027240005,1.0,1:Parent
027240007,1.0,3:Self
027241118,,
027245102,2.0,3:Self
027250002,2.0,
027250003,,
027250010,,
027260003,,
027260007,1.0,3:Self
027260008,1.0,3:Self
027260010,,
027264102,,
027280006,,
027280007,1.0,3:Self
027280008,1.0,3:Self
027280010,,
027283202,,
027290003,,
027290006,1.0,3:Self
027294202,1.0,3:Self
027300004,1.0,3:Self
027305102,1.0,3:Self
027430003,,
027430007,,
027430018,,
027433107,1.0,3:Self
027434103,,
027440003,,
028010003,,
028013102,,
028020002,,
028030005,,
028030006,,
028033102,,
028040003,3.0,3:Self
028040005,1.0,3:Self
028044102,,
028050002,,
028050006,1.0,3:Self
028050007,,
028053302,,
028060001,,
028070003,1.0,3:Self
028090003,,
028094102,,
028100003,,
028103102,3.0,3:Self
028104202,,
028120002,,
028120003,,
028120005,1.0,3:Self
028120007,2.0,3:Self
028125202,1.0,3:Self
028130002,,
028160003,,
028170004,1.0,3:Self
028173103,,
028175202,1.0,3:Self
028190001,1.0,95:Other
028200003,,
028200004,1.0,3:Self
028210003,2.0,3:Self
028210004,2.0,3:Self
028260002,,
028270002,,
028270003,1.0,3:Self
028275301,1.0,3:Self
028280004,1.0,3:Self
028285102,1.0,1:Parent
