pidlink,sex,age,age_squared,education,urban,monthly_income,log_income,marstat,ever_married,is_divorced,is_jawa,is_sunda,pwt14xa
043170012,Male,25.0,625.0,6.0,0,1500000.0,14.220976332738882,Married,1,0,0,1,0.7004172205924988
043174101,Male,32.0,1024.0,6.0,0,1500000.0,14.220976332738882,Married,1,0,0,0,0.7710112929344177
043175101,Male,20.0,400.0,6.0,0,1800000.0,14.403297778421795,Married,1,0,1,0,1.2518891096115112
043180001,Male,52.0,2704.0,6.0,0,2000000.0,14.508658238524095,Married,1,0,0,0,1.3231120109558105
043180006,Male,20.0,400.0,6.0,0,600000.0,13.304686600863562,Never Married,0,0,0,0,1.2518891096115112
043190001,Male,71.0,5041.0,6.0,0,0.0,0.0,Married,1,0,0,0,0.8717489838600159
043200016,Female,32.0,1024.0,15.0,0,2500000.0,14.731801689838349,Married,1,0,0,0,0.9372068047523499
043200017,Female,30.0,900.0,16.0,0,900000.0,13.710151153416941,Married,1,0,0,0,0.9372068047523499
043200028,Male,33.0,1089.0,6.0,0,15000000.0,16.52356082573315,Married,1,0,0,0,0.7710112929344177
043200029,Female,33.0,1089.0,9.0,0,1200000.0,13.997832948091215,Married,1,0,0,0,0.9372068047523499
043203109,Female,22.0,484.0,15.0,0,300000.0,12.611541086966115,Never Married,0,0,0,0,0.5721980929374695
043210001,Male,54.0,2916.0,6.0,0,1000000.0,13.815511557963774,Married,1,0,0,0,1.3231120109558105
043210002,Female,51.0,2601.0,6.0,0,1200000.0,13.997832948091215,Married,1,0,0,0,1.2290230989456177
043210006,Male,27.0,729.0,12.0,0,1900000.0,14.45736497045232,Married,1,0,0,0,0.7004172205924988
043220002,Female,79.0,6241.0,6.0,0,150000.0,11.918397239722838,Widowed,1,0,0,0,0.78288733959198
043220003,Male,45.0,2025.0,6.0,0,2000000.0,14.508658238524095,Married,1,0,0,0,1.2785468101501465
043220008,Female,37.0,1369.0,6.0,0,600000.0,13.304686600863562,Married,1,0,0,0,0.9372068047523499
043230003,Male,42.0,1764.0,6.0,0,1500000.0,14.220976332738882,Married,1,0,0,0,1.2785468101501465
043230004,Female,40.0,1600.0,12.0,0,500000.0,13.122365377402328,Married,1,0,0,0,1.756833791732788
043230005,Male,18.0,324.0,6.0,0,600000.0,13.304686600863562,Never Married,0,0,0,0,1.2101514339447021
043240013,Male,37.0,1369.0,6.0,0,1500000.0,14.220976332738882,Married,1,0,0,0,0.7710112929344177
043250004,Male,41.0,1681.0,6.0,0,2500000.0,14.731801689838349,Married,1,0,0,0,1.2785468101501465
043250009,Male,44.0,1936.0,6.0,0,5000000.0,15.424948670398354,Married,1,0,0,0,1.2785468101501465
043250011,Female,50.0,2500.0,12.0,0,120000.0,11.695255355062795,Married,1,0,0,0,1.2290230989456177
043253104,Female,39.0,1521.0,12.0,0,300000.0,12.611541086966115,Married,1,0,0,0,0.9372068047523499
043254203,Female,27.0,729.0,6.0,0,56000.0,10.933124826700707,Married,1,0,0,0,0.574699342250824
043255202,Male,36.0,1296.0,9.0,0,1800000.0,14.403297778421795,Married,1,0,0,0,0.7710112929344177
043260003,Male,44.0,1936.0,9.0,0,900000.0,13.710151153416941,Married,1,0,0,0,1.2785468101501465
043260012,Female,32.0,1024.0,16.0,0,2500000.0,14.731801689838349,Divorced,1,1,0,0,0.9372068047523499
043263101,Male,44.0,1936.0,9.0,0,2500000.0,14.731801689838349,Married,1,0,0,0,1.2785468101501465
043270003,Female,49.0,2401.0,12.0,0,900000.0,13.710151153416941,Married,1,0,0,0,1.756833791732788
043270004,Male,54.0,2916.0,16.0,0,4380000.0,15.292559510663105,Married,1,0,0,0,1.3231120109558105
043270007,Male,25.0,625.0,16.0,0,150000.0,11.918397239722838,Never Married,0,0,0,0,0.7004172205924988
043271106,Male,28.0,784.0,12.0,1,600000.0,13.304686600863562,Never Married,0,0,0,0,0.896437406539917
043290001,Male,48.0,2304.0,9.0,0,1050000.0,13.864301674514206,Married,1,0,0,0,1.2785468101501465
043300004,Female,37.0,1369.0,16.0,0,2800000.0,14.845130332288226,Married,1,0,0,0,0.9372068047523499
043300007,Male,42.0,1764.0,12.0,0,1500000.0,14.220976332738882,Married,1,0,0,0,1.2785468101501465
043305102,Female,34.0,1156.0,16.0,0,500000.0,13.122365377402328,Married,1,0,0,0,0.9372068047523499
044010002,Male,42.0,1764.0,12.0,1,3000000.0,14.914123179965662,Married,1,0,0,0,1.001433253288269
044025102,Female,25.0,625.0,15.0,1,1450000.0,14.187074804051692,Married,1,0,0,0,0.623700737953186
044030004,Male,54.0,2916.0,12.0,1,2600000.0,14.77102238760702,Married,1,0,0,0,1.1940598487854004
044030007,Male,32.0,1024.0,12.0,1,1800000.0,14.403297778421795,Married,1,0,0,0,0.7994408011436462
