pidlink,marstat,age,sex,ever_married,male
005060007,1:Not yet married,16.0,1:Male,0,1
005064101,2:Married,36.0,1:Male,1,1
005065102,2:Married,24.0,3:Female,1,0
005070001,2:Married,65.0,1:Male,1,1
005070002,2:Married,59.0,3:Female,1,0
005080002,2:Married,63.0,1:Male,1,1
005080003,2:Married,59.0,3:Female,1,0
005090001,2:Married,70.0,1:Male,1,1
005090002,2:Married,64.0,3:Female,1,0
005090005,2:Married,40.0,1:Male,1,1
005090010,2:Married,22.0,3:Female,1,0
005090011,1:Not yet married,17.0,1:Male,0,1
005090015,1:Not yet married,16.0,3:Female,0,0
005094101,4:Divorced,27.0,1:Male,1,1
005095102,2:Married,31.0,3:Female,1,0
005095201,2:Married,26.0,1:Male,1,1
005100001,2:Married,48.0,1:Male,1,1
005100002,2:Married,52.0,3:Female,1,0
005100003,2:Married,27.0,3:Female,1,0
005100005,1:Not yet married,21.0,1:Male,0,1
005104101,2:Married,27.0,1:Male,1,1
005110003,2:Married,48.0,1:Male,1,1
005110004,2:Married,59.0,1:Male,1,1
005110005,2:Married,54.0,3:Female,1,0
005110006,2:Married,26.0,3:Female,1,0
005110008,2:Married,32.0,1:Male,1,1
005111102,2:Married,44.0,3:Female,1,0
005111104,1:Not yet married,16.0,3:Female,0,0
005130002,2:Married,44.0,3:Female,1,0
005130003,1:Not yet married,24.0,1:Male,0,1
005130005,2:Married,78.0,3:Female,1,0
005130006,2:Married,31.0,1:Male,1,1
005130008,2:Married,19.0,1:Male,1,1
005130012,1:Not yet married,19.0,3:Female,0,0
005130013,1:Not yet married,22.0,1:Male,0,1
005131203,2:Married,35.0,3:Female,1,0
005134101,2:Married,52.0,1:Male,1,1
005135102,2:Married,19.0,3:Female,1,0
005140001,2:Married,68.0,1:Male,1,1
005140002,2:Married,63.0,3:Female,1,0
005140003,2:Married,40.0,3:Female,1,0
005140005,2:Married,32.0,3:Female,1,0
005140006,2:Married,30.0,3:Female,1,0
005140007,2:Married,28.0,1:Male,1,1
005143101,2:Married,39.0,1:Male,1,1
005144101,2:Married,32.0,1:Male,1,1
005144201,2:Married,32.0,1:Male,1,1
005145103,2:Married,28.0,3:Female,1,0
005150001,2:Married,45.0,1:Male,1,1
005150002,2:Married,44.0,3:Female,1,0
005150003,1:Not yet married,17.0,1:Male,0,1
005160001,2:Married,54.0,1:Male,1,1
005160002,2:Married,51.0,3:Female,1,0
005160003,2:Married,32.0,3:Female,1,0
005160004,2:Married,30.0,3:Female,1,0
005160005,1:Not yet married,29.0,1:Male,0,1
005160006,1:Not yet married,23.0,1:Male,0,1
005160007,2:Married,20.0,3:Female,1,0
005164101,2:Married,43.0,1:Male,1,1
005164103,1:Not yet married,15.0,1:Male,0,1
005164201,2:Married,36.0,1:Male,1,1
005165101,2:Married,27.0,1:Male,1,1
005170001,2:Married,66.0,1:Male,1,1
005170002,2:Married,51.0,3:Female,1,0
005170003,2:Married,29.0,1:Male,1,1
005170004,1:Not yet married,26.0,1:Male,0,1
005174103,2:Married,27.0,3:Female,1,0
005180001,2:Married,58.0,1:Male,1,1
005180002,2:Married,56.0,3:Female,1,0
005180003,2:Married,37.0,3:Female,1,0
005180005,2:Married,30.0,1:Male,1,1
005180007,1:Not yet married,22.0,3:Female,0,0
005180008,1:Not yet married,15.0,1:Male,0,1
005185102,2:Married,43.0,1:Male,1,1
005185103,1:Not yet married,16.0,1:Male,0,1
005185202,2:Married,27.0,3:Female,1,0
005200001,2:Married,58.0,1:Male,1,1
005200002,2:Married,49.0,3:Female,1,0
005200003,1:Not yet married,30.0,1:Male,0,1
005200004,1:Not yet married,28.0,1:Male,0,1
005200005,1:Not yet married,24.0,3:Female,0,0
005200006,1:Not yet married,20.0,1:Male,0,1
005200007,1:Not yet married,19.0,1:Male,0,1
005200008,1:Not yet married,16.0,3:Female,0,0
006010001,2:Married,49.0,1:Male,1,1
006010002,2:Married,49.0,3:Female,1,0
006010003,2:Married,26.0,3:Female,1,0
006010004,1:Not yet married,20.0,3:Female,0,0
006015101,2:Married,27.0,1:Male,1,1
006020002,5:Widowed,63.0,3:Female,1,0
006030001,2:Married,57.0,1:Male,1,1
006030002,2:Married,55.0,3:Female,1,0
006030003,2:Married,30.0,1:Male,1,1
006030004,2:Married,27.0,1:Male,1,1
006030005,2:Married,21.0,3:Female,1,0
006030006,1:Not yet married,18.0,3:Female,0,0
006030007,2:Married,22.0,1:Male,1,1
006034102,2:Married,37.0,3:Female,1,0
006034202,2:Married,26.0,3:Female,1,0
006040001,2:Married,63.0,1:Male,1,1
006040002,2:Married,55.0,3:Female,1,0
006040003,2:Married,40.0,1:Male,1,1
006040004,2:Married,36.0,1:Male,1,1
006040005,2:Married,31.0,3:Female,1,0
006041102,2:Married,37.0,3:Female,1,0
006043102,2:Married,39.0,3:Female,1,0
006043103,1:Not yet married,18.0,3:Female,0,0
006043104,1:Not yet married,15.0,1:Male,0,1
006044101,2:Married,35.0,1:Male,1,1
006060001,2:Married,57.0,1:Male,1,1
006060002,2:Married,54.0,3:Female,1,0
006060003,1:Not yet married,25.0,1:Male,0,1
006060004,2:Married,47.0,1:Male,1,1
006060005,2:Married,44.0,3:Female,1,0
006060007,1:Not yet married,22.0,3:Female,0,0
006060008,1:Not yet married,18.0,1:Male,0,1
006070001,2:Married,55.0,1:Male,1,1
006070002,2:Married,53.0,3:Female,1,0
006070003,1:Not yet married,27.0,1:Male,0,1
006070004,1:Not yet married,26.0,1:Male,0,1
006080001,2:Married,55.0,1:Male,1,1
006080002,2:Married,53.0,3:Female,1,0
006080004,2:Married,29.0,3:Female,1,0
006080005,2:Married,23.0,1:Male,1,1
006080009,2:Married,25.0,3:Female,1,0
006084101,2:Married,36.0,1:Male,1,1
006084105,2:Married,30.0,3:Female,1,0
006084201,2:Married,33.0,1:Male,1,1
006090001,2:Married,54.0,1:Male,1,1
006090002,2:Married,52.0,3:Female,1,0
006090003,2:Married,29.0,3:Female,1,0
006090004,2:Married,27.0,3:Female,1,0
006090005,2:Married,25.0,1:Male,1,1
006094101,2:Married,31.0,1:Male,1,1
006094202,2:Married,25.0,3:Female,1,0
006095101,2:Married,30.0,1:Male,1,1
006100001,2:Married,57.0,1:Male,1,1
006100002,2:Married,53.0,3:Female,1,0
006100003,2:Married,34.0,1:Male,1,1
006100004,1:Not yet married,33.0,1:Male,0,1
006100005,1:Not yet married,28.0,1:Male,0,1
006100006,1:Not yet married,17.0,1:Male,0,1
006104102,2:Married,26.0,3:Female,1,0
006110002,5:Widowed,64.0,3:Female,1,0
