pidlink,marstat,age,sex
005010003,2:Married,48.0,1:Male
005010004,2:Married,57.0,3:Female
005010005,2:Married,54.0,1:Male
005013102,2:Married,41.0,3:Female
005030001,4:Divorced,51.0,3:Female
005030002,2:Married,29.0,3:Female
005034101,2:Married,34.0,1:Male
005040004,2:Married,32.0,1:Male
005040005,2:Married,30.0,1:Male
005043103,4:Divorced,36.0,3:Female
005044107,2:Married,23.0,3:Female
005044202,2:Married,28.0,3:Female
005050001,2:Married,57.0,1:Male
005050002,2:Married,56.0,3:Female
005060001,2:Married,56.0,1:Male
005060002,2:Married,49.0,3:Female
005060003,2:Married,33.0,1:Male
005060004,2:Married,29.0,3:Female
005064101,2:Married,36.0,1:Male
005065102,2:Married,24.0,3:Female
005070001,2:Married,65.0,1:Male
005070002,2:Married,59.0,3:Female
005080002,2:Married,63.0,1:Male
005080003,2:Married,59.0,3:Female
005090001,2:Married,70.0,1:Male
005090002,2:Married,64.0,3:Female
005090005,2:Married,40.0,1:Male
005090010,2:Married,22.0,3:Female
005094101,4:Divorced,27.0,1:Male
005095102,2:Married,31.0,3:Female
005095201,2:Married,26.0,1:Male
005100001,2:Married,48.0,1:Male
005100002,2:Married,52.0,3:Female
005100003,2:Married,27.0,3:Female
005104101,2:Married,27.0,1:Male
005110003,2:Married,48.0,1:Male
005110004,2:Married,59.0,1:Male
005110005,2:Married,54.0,3:Female
005110006,2:Married,26.0,3:Female
005110008,2:Married,32.0,1:Male
005111102,2:Married,44.0,3:Female
005130002,2:Married,44.0,3:Female
005130005,2:Married,78.0,3:Female
005130006,2:Married,31.0,1:Male
005130008,2:Married,19.0,1:Male
005131203,2:Married,35.0,3:Female
005134101,2:Married,52.0,1:Male
005135102,2:Married,19.0,3:Female
005140001,2:Married,68.0,1:Male
005140002,2:Married,63.0,3:Female
005140003,2:Married,40.0,3:Female
005140005,2:Married,32.0,3:Female
005140006,2:Married,30.0,3:Female
005140007,2:Married,28.0,1:Male
005143101,2:Married,39.0,1:Male
005144101,2:Married,32.0,1:Male
005144201,2:Married,32.0,1:Male
005145103,2:Married,28.0,3:Female
005150001,2:Married,45.0,1:Male
005150002,2:Married,44.0,3:Female
005160001,2:Married,54.0,1:Male
005160002,2:Married,51.0,3:Female
005160003,2:Married,32.0,3:Female
005160004,2:Married,30.0,3:Female
005160007,2:Married,20.0,3:Female
005164101,2:Married,43.0,1:Male
005164201,2:Married,36.0,1:Male
005165101,2:Married,27.0,1:Male
005170001,2:Married,66.0,1:Male
005170002,2:Married,51.0,3:Female
005170003,2:Married,29.0,1:Male
005174103,2:Married,27.0,3:Female
005180001,2:Married,58.0,1:Male
005180002,2:Married,56.0,3:Female
005180003,2:Married,37.0,3:Female
005180005,2:Married,30.0,1:Male
005185102,2:Married,43.0,1:Male
005185202,2:Married,27.0,3:Female
005200001,2:Married,58.0,1:Male
005200002,2:Married,49.0,3:Female
006010001,2:Married,49.0,1:Male
006010002,2:Married,49.0,3:Female
006010003,2:Married,26.0,3:Female
006015101,2:Married,27.0,1:Male
006020002,5:Widowed,63.0,3:Female
006030001,2:Married,57.0,1:Male
006030002,2:Married,55.0,3:Female
006030003,2:Married,30.0,1:Male
006030004,2:Married,27.0,1:Male
006030005,2:Married,21.0,3:Female
006030007,2:Married,22.0,1:Male
006034102,2:Married,37.0,3:Female
006034202,2:Married,26.0,3:Female
006040001,2:Married,63.0,1:Male
006040002,2:Married,55.0,3:Female
006040003,2:Married,40.0,1:Male
006040004,2:Married,36.0,1:Male
006040005,2:Married,31.0,3:Female
006041102,2:Married,37.0,3:Female
006043102,2:Married,39.0,3:Female
006044101,2:Married,35.0,1:Male
006060001,2:Married,57.0,1:Male
006060002,2:Married,54.0,3:Female
006060004,2:Married,47.0,1:Male
006060005,2:Married,44.0,3:Female
006070001,2:Married,55.0,1:Male
006070002,2:Married,53.0,3:Female
006080001,2:Married,55.0,1:Male
006080002,2:Married,53.0,3:Female
006080004,2:Married,29.0,3:Female
006080005,2:Married,23.0,1:Male
006080009,2:Married,25.0,3:Female
006084101,2:Married,36.0,1:Male
006084105,2:Married,30.0,3:Female
006084201,2:Married,33.0,1:Male
006090001,2:Married,54.0,1:Male
006090002,2:Married,52.0,3:Female
006090003,2:Married,29.0,3:Female
006090004,2:Married,27.0,3:Female
006090005,2:Married,25.0,1:Male
006094101,2:Married,31.0,1:Male
006094202,2:Married,25.0,3:Female
006095101,2:Married,30.0,1:Male
006100001,2:Married,57.0,1:Male
006100002,2:Married,53.0,3:Female
006100003,2:Married,34.0,1:Male
006104102,2:Married,26.0,3:Female
006110002,5:Widowed,64.0,3:Female
006110003,2:Married,40.0,1:Male
006110005,2:Married,31.0,3:Female
006110006,2:Married,46.0,1:Male
006110007,2:Married,46.0,3:Female
006113102,2:Married,35.0,3:Female
006114101,2:Married,32.0,1:Male
006120001,2:Married,56.0,1:Male
006120002,2:Married,52.0,3:Female
006120003,2:Married,35.0,3:Female
006120005,2:Married,18.0,1:Male
006120006,2:Married,20.0,3:Female
006121104,2:Married,38.0,1:Male
006125103,2:Married,18.0,3:Female
006125204,2:Married,20.0,1:Male
006130004,2:Married,31.0,3:Female
006130005,2:Married,33.0,1:Male
006140002,5:Widowed,55.0,3:Female
006140003,2:Married,35.0,1:Male
006140004,2:Married,34.0,3:Female
006144101,2:Married,33.0,1:Male
006144202,3:Separated,25.0,3:Female
006145102,2:Married,27.0,3:Female
006160002,5:Widowed,66.0,3:Female
006170001,2:Married,60.0,1:Male
006170002,2:Married,57.0,3:Female
006170003,2:Married,37.0,1:Male
006170005,2:Married,28.0,3:Female
006174102,2:Married,34.0,3:Female
006175101,2:Married,25.0,1:Male
006190001,2:Married,53.0,1:Male
006190002,2:Married,52.0,3:Female
006190004,2:Married,29.0,3:Female
006190005,2:Married,24.0,3:Female
006190006,2:Married,37.0,3:Female
006190008,2:Married,27.0,1:Male
006193101,2:Married,37.0,1:Male
006195101,2:Married,32.0,1:Male
006200001,2:Married,64.0,1:Male
006200002,2:Married,60.0,3:Female
006200003,2:Married,36.0,1:Male
006200004,2:Married,33.0,3:Female
006200005,2:Married,21.0,3:Female
006200006,2:Married,23.0,1:Male
006204101,2:Married,32.0,1:Male
006205102,2:Married,35.0,3:Female
007010001,5:Widowed,64.0,3:Female
007010002,2:Married,39.0,1:Male
007014102,2:Married,35.0,3:Female
007020001,5:Widowed,72.0,3:Female
007030002,5:Widowed,66.0,3:Female
007030003,2:Married,39.0,3:Female
007030005,2:Married,32.0,3:Female
007030006,2:Married,42.0,1:Male
007030007,2:Married,30.0,3:Female
007033101,2:Married,42.0,1:Male
007035101,2:Married,34.0,1:Male
007040002,5:Widowed,69.0,3:Female
007040003,2:Married,38.0,1:Male
007040004,2:Married,35.0,1:Male
007045102,2:Married,34.0,3:Female
007050004,2:Married,36.0,1:Male
007050006,2:Married,38.0,3:Female
007060001,2:Married,55.0,1:Male
007060002,2:Married,50.0,3:Female
007060003,2:Married,25.0,3:Female
007060004,2:Married,23.0,3:Female
007064101,2:Married,25.0,1:Male
007070002,5:Widowed,78.0,3:Female
007070003,2:Married,41.0,1:Male
007072102,2:Married,42.0,3:Female
007080001,2:Married,72.0,1:Male
007080003,2:Married,38.0,3:Female
007080004,2:Married,40.0,1:Male
007085102,2:Married,42.0,3:Female
007090001,5:Widowed,57.0,3:Female
007090002,2:Married,38.0,1:Male
007090005,2:Married,34.0,3:Female
007100002,5:Widowed,72.0,3:Female
007110004,2:Married,43.0,1:Male
007110005,2:Married,42.0,3:Female
007120002,5:Widowed,94.0,3:Female
007130001,2:Married,47.0,1:Male
007130002,2:Married,47.0,3:Female
007130004,2:Married,30.0,3:Female
007135101,2:Married,31.0,1:Male
007140001,2:Married,61.0,1:Male
007140002,2:Married,65.0,3:Female
007140004,2:Married,32.0,3:Female
007143108,2:Married,34.0,1:Male
007150002,5:Widowed,74.0,3:Female
007150004,5:Widowed,43.0,3:Female
007160001,2:Married,58.0,1:Male
007160002,2:Married,57.0,3:Female
007160004,2:Married,32.0,3:Female
007160006,2:Married,27.0,1:Male
007160007,2:Married,24.0,3:Female
007163107,2:Married,31.0,1:Male
007165102,2:Married,25.0,3:Female
007180001,2:Married,62.0,1:Male
007180002,2:Married,60.0,3:Female
007180003,2:Married,34.0,1:Male
007180004,2:Married,32.0,3:Female
007180009,2:Married,37.0,3:Female
